Range: 0 seconds to 4 minutes 16.1 seconds.

Call Paths:

[Process]/{Thread}/Code,# Total: Samples,% Total: Samples,# Self: Samples,% Self: Samples,# Process: Samples,% Process: Samples,Stack Depth,Location
"      <unknown code in libGLES_mali.so>","1,747",3.44%,86,0.17%,"1,747",3.44%,0,libGLES_mali.so
"        <unknown code in libc.so>","1,661",3.27%,"1,661",3.27%,"1,661",3.27%,0,libc.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  Background Work #32632","1,531",3.01%,,,"1,531",3.02%,,-
"    <unknown code in libc.so>","1,522",2.99%,,,"1,522",3.00%,0,libc.so
"      <unknown code in libUnreal.so>","1,522",2.99%,962,1.89%,"1,522",3.00%,0,libUnreal.so
"        <unknown code in libc.so>",465,0.91%,403,0.79%,465,0.92%,0,libc.so
"          <unknown code in [vdso]>",62,0.12%,62,0.12%,62,0.12%,0,[vdso]
"        <unknown code in libGPUCounters.so>",85,0.17%,14,0.03%,85,0.17%,0,libGPUCounters.so
"          <unknown code in libc.so>",71,0.14%,71,0.14%,71,0.14%,0,libc.so
"        <unknown code in libandroid.so>",5,< 0.01%,3,< 0.01%,5,< 0.01%,0,libandroid.so
"          <unknown code in libcutils.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libcutils.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libheapprofd_standalone_client.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libheapprofd_standalone_client.so
"        <unknown code in libart.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libart.so
"    <unknown code in memfd:jit-cache (deleted)>",7,0.01%,1,< 0.01%,7,0.01%,0,memfd:jit-cache (deleted)
"      <unknown code in libandroid_runtime.so>",5,< 0.01%,,,5,< 0.01%,0,libandroid_runtime.so
"        <unknown code in libbinder.so>",4,< 0.01%,,,4,< 0.01%,0,libbinder.so
"          <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"        <unknown code in libart.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libart.so
"      <unknown code in libart.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libart.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  Background Work #32633","1,384",2.72%,,,"1,384",2.73%,,-
"    <unknown code in libc.so>","1,373",2.70%,,,"1,373",2.70%,0,libc.so
"      <unknown code in libUnreal.so>","1,373",2.70%,808,1.59%,"1,373",2.70%,0,libUnreal.so
"        <unknown code in libc.so>",434,0.85%,377,0.74%,434,0.85%,0,libc.so
"          <unknown code in [vdso]>",57,0.11%,57,0.11%,57,0.11%,0,[vdso]
"        <unknown code in libGPUCounters.so>",119,0.23%,26,0.05%,119,0.23%,0,libGPUCounters.so
"          <unknown code in libc.so>",93,0.18%,93,0.18%,93,0.18%,0,libc.so
"        <unknown code in libandroid.so>",8,0.02%,1,< 0.01%,8,0.02%,0,libandroid.so
"          <unknown code in libcutils.so>",7,0.01%,6,0.01%,7,0.01%,0,libcutils.so
"            <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libheapprofd_standalone_client.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libheapprofd_standalone_client.so
"    <unknown code in memfd:jit-cache (deleted)>",5,< 0.01%,1,< 0.01%,5,< 0.01%,0,memfd:jit-cache (deleted)
"      <unknown code in libandroid_runtime.so>",3,< 0.01%,,,3,< 0.01%,0,libandroid_runtime.so
"        <unknown code in libart.so>",1,< 0.01%,,,1,< 0.01%,0,libart.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libbinder.so>",1,< 0.01%,,,1,< 0.01%,0,libbinder.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"      <unknown code in libbinder.so>",1,< 0.01%,,,1,< 0.01%,0,libbinder.so
"        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"    <unknown code in libart.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libart.so
"      <unknown code in memfd:jit-cache (deleted)>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,memfd:jit-cache (deleted)
"  com.YourCompany.SunTemple2 #32377","1,016",2.00%,,,"1,016",2.00%,,-
"    <unknown code in memfd:jit-cache (deleted)>",765,1.50%,116,0.23%,765,1.51%,0,memfd:jit-cache (deleted)
"      <unknown code in libandroid_runtime.so>",629,1.24%,12,0.02%,629,1.24%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",610,1.20%,27,0.05%,610,1.20%,0,libutils.so
"          <unknown code in libandroid_runtime.so>",305,0.60%,20,0.04%,305,0.60%,0,libandroid_runtime.so
"            <unknown code in libart.so>",193,0.38%,185,0.36%,193,0.38%,0,libart.so
"              <unknown code in libc++.so>",5,< 0.01%,2,< 0.01%,5,< 0.01%,0,libc++.so
"                <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"            <unknown code in libsensor.so>",88,0.17%,9,0.02%,88,0.17%,0,libsensor.so
"              <unknown code in libc.so>",79,0.16%,79,0.16%,79,0.16%,0,libc.so
"            <unknown code in libutils.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libutils.so
"          <unknown code in libc.so>",278,0.55%,278,0.55%,278,0.55%,0,libc.so
"        <unknown code in libbinder.so>",6,0.01%,,,6,0.01%,0,libbinder.so
"          <unknown code in libc.so>",6,0.01%,6,0.01%,6,0.01%,0,libc.so
"        <unknown code in libart.so>",1,< 0.01%,,,1,< 0.01%,0,libart.so
